Username,Comment,Comment Date
@bageurboedak2022,"Min, ko belum ada updatenya lagi???",2024-03-16T02:19:06Z
@hudaedirohman9201,"Ya pasti Prabowo presiden,gak perlu di sangkal.jangan ngeyel",2024-03-15T14:35:08Z
@supriyatnaupik8574,Eq banyak cing cOng Eq banyak koar2 semua pendukung Prabowo meledak.,2024-03-15T12:18:16Z
@nunungnurhayati2130,Sebelum pencoblosan juga sudah tau yang unggul 02....Bang Qodari sudah mengumumkan....,2024-03-15T09:44:11Z
@LayllaZahra,Pak Prabowo dan Mas Gibran  pilih Rakyat yg cerdas✌️,2024-03-15T07:20:20Z
@tobewhat,Menolak dinasty,2024-03-15T05:17:16Z
@kucingbngl2993,Menangnya wowo karna curang😂😂😂,2024-03-15T04:05:52Z
@gedangghodog,tumben tumbennya metro beritain 02 ada apa nihhh😂😂biasanya juga nyerang 02 mulu,2024-03-15T00:32:30Z
@arifhidayat5238,Mau yang menang siapa presiden nya kita hanya tinggal menunggu janji mereka aja dilakukan atau tidak.....kalau tidak dilakukan berati apa hayooo kita tonton saja filmnya nnti,2024-03-14T22:14:22Z
@arifhidayat5238,Angkanya g brubah berubah...diangka 59% skian,2024-03-14T22:12:26Z
@dwimarschelyno3503,Alkhammdulilah,2024-03-14T20:39:33Z
@PutraAjipratama-bu2qj,InsyaAllah pak prabowo presiden 2024✌,2024-03-14T19:49:40Z
@hasrihasri3618,gibran menang telak,2024-03-14T18:28:15Z
@fandipopitan99,Ga ada lagi kata curang2.. ini hasil rekap pleno manual.. jadi alasan apalagi buat ga mngakui nya?.. 02 gass..,2024-03-14T13:27:23Z
@fandipopitan99,Salam dari pedalaman/ silent majority ..,2024-03-14T13:20:39Z
@Lial-ky4uq,Hahaha sok suci nyungsep juga 01,2024-03-14T12:48:16Z
@kusyatiwandan6623,Alhamdulillah pasti menang2,2024-03-14T11:33:41Z
@ardianardian95,Btita tgl brapa ini..😅😅😅😅,2024-03-14T10:06:19Z
@IfeehSugiarto,"dia abahmu bukan berarti abahku, di juga imam mahdimu belum tentu imam mahdi menurutku, intinya tetap menghayal dan jangan sadar lagi 😂",2024-03-14T09:32:29Z
@rex7755,Wajar sudah di genjot sama bansos😂,2024-03-14T02:19:48Z
@pitungjampang,"bukan sementara tapi mutlak prabowo menang,  kabupaten bekasi aja prabowo menang",2024-03-14T00:49:12Z
@ariefabdurrochman1247,"Di kampungku Jateng , Prabowo menang telak",2024-03-13T22:03:55Z
@RenoPriyanto-c6r,Kasian no 3 udh dari sabang smpe maruke kecil suaranya eh calon presidenya KAMU PERCAYA ANGKA SAYA SEGITU<br>PDI KN SUARA TERBANYAK ANOMALI SEKALI YA 😅😅😅😅,2024-03-13T17:50:34Z
@rudirc2997,Kadang lucu chenel ini...mutlak pak paloooh.02 saksi hidup dari paslon lain jga hadir 02 mutlak dimna mana pak.bahkan DKI Yang notabnya  katanya pendukung 01 banyak yang mutlak 02.jadi legowo itu perlu.wkwkwkkw.,2024-03-13T15:59:39Z
@uploadvideoofficial,Kalah y kalah menerima dngn lapang dada. <br>ok gass past jadi president 😊,2024-03-13T14:44:19Z
@rezkidwiedharmawan1943,"Curang , harus diulang sampe Anis menang",2024-03-13T14:43:16Z
@mohamadaris9648,Indonesia maju lor harga tomat luar biasa harganya...😀😀🤭🙏,2024-03-13T14:40:15Z
@usingsong,01 rame saat kampanye saja,2024-03-13T14:37:20Z
@hendranurdiansyah6092,Semoga ALLOH Menunjukan ke agunganya,2024-03-13T14:28:20Z
